query_id,topic,difficulty,topic_slot,query_text,reference_answer,review_status,draft_source,notes
Q001,authentication_and_identity,basic,authentication_and_identity__01,What is the safest way for human administrators to authenticate to a production Kubernetes cluster?,The safest default is to use a federated identity provider such as OIDC or managed cloud IAM with MFA and individual accounts. Avoid shared kubeconfigs or shared static credentials because they weaken auditability and make revocation harder.,reviewed_seed,structured_seed_then_manual_refinement,
Q002,authentication_and_identity,basic,authentication_and_identity__02,Why should all Kubernetes API traffic use TLS?,"TLS protects tokens, certificates, and cluster data while it is moving between clients and the API server. Without TLS, an attacker on the network can intercept or modify sensitive traffic.",reviewed_seed,structured_seed_then_manual_refinement,
Q003,authentication_and_identity,basic,authentication_and_identity__03,When should I prefer short-lived tokens over long-lived static credentials for Kubernetes access?,Short-lived credentials are usually safer because they expire quickly and are easier to rotate or revoke. Long-lived static credentials increase the impact of theft and are harder to manage safely at scale.,reviewed_seed,structured_seed_then_manual_refinement,
Q004,authentication_and_identity,intermediate,authentication_and_identity__04,How should I reduce risk from copied kubeconfig files on administrator laptops?,"Use central identity, MFA, least-privilege RBAC, and short-lived credentials instead of permanent broad-access kubeconfigs. Lost or copied kubeconfigs should be revocable quickly, and endpoints should use disk encryption and secure storage.",reviewed_seed,structured_seed_then_manual_refinement,
Q005,authentication_and_identity,intermediate,authentication_and_identity__05,How should an external automation service authenticate to the Kubernetes API?,Use a dedicated non-human identity such as workload identity federation or a narrowly scoped service account with short-lived audience-scoped tokens. Do not reuse an administrator kubeconfig or a personal account for automation.,reviewed_seed,structured_seed_then_manual_refinement,
Q006,authentication_and_identity,intermediate,authentication_and_identity__06,What controls make bootstrap authentication safer during cluster or node provisioning?,"Bootstrap tokens should be short-lived, narrowly scoped, and removed after provisioning. Their use should also be audited and limited to the expected network path and bootstrap workflow.",reviewed_seed,structured_seed_then_manual_refinement,
Q007,authentication_and_identity,intermediate,authentication_and_identity__07,How should I rotate certificates and authentication secrets without breaking the cluster?,"Rotate them in a planned staged workflow with overlapping validity and tested rollback steps. The process should cover certificates, signing keys, and tokens, and it should be automated where possible to reduce outages.",reviewed_seed,structured_seed_then_manual_refinement,
Q008,authentication_and_identity,intermediate,authentication_and_identity__08,How do I prevent unintended or anonymous access to the Kubernetes API server?,"Disable anonymous authentication if it is not needed, restrict API server network exposure, and require proper authentication and authorization for all requests. The API should be reachable only from the expected management paths.",reviewed_seed,structured_seed_then_manual_refinement,
Q009,authentication_and_identity,advanced,authentication_and_identity__09,"How should I separate identities for humans, workloads, and nodes in Kubernetes?","Use different identity mechanisms and different permissions for each class of actor. Humans should use federated login, workloads should use service accounts or workload identity, and nodes should use their own tightly scoped identities with node-specific controls.",reviewed_seed,structured_seed_then_manual_refinement,
Q010,authentication_and_identity,advanced,authentication_and_identity__10,What is the safest way for an external service to validate Kubernetes service account tokens?,"Use the TokenReview API or validate through OIDC discovery and JWKS with issuer, audience, and expiry checks. It is not enough to trust the token contents without verifying signature and claims properly.",reviewed_seed,structured_seed_then_manual_refinement,
