query_id,variant,num_retrieved_chunk_ids,num_citations,citation_valid
Q001,V1,3,2,True
Q001,V2,3,2,True
Q001,V3,3,3,True
Q002,V1,3,3,True
Q002,V2,3,3,True
Q002,V3,3,3,True
Q003,V1,3,2,True
Q003,V2,3,2,True
Q003,V3,3,3,True
Q004,V1,3,3,True
Q004,V2,3,3,True
Q004,V3,3,3,True
Q005,V1,3,3,True
Q005,V2,3,3,True
Q005,V3,3,2,True
Q006,V1,3,3,True
Q006,V2,3,3,True
Q006,V3,3,3,True
Q007,V1,3,3,True
Q007,V2,3,3,True
Q007,V3,3,2,True
Q008,V1,3,1,True
Q008,V2,3,1,True
Q008,V3,3,2,True
Q009,V1,3,3,True
Q009,V2,3,3,True
Q009,V3,3,2,True
Q010,V1,3,3,True
Q010,V2,3,2,True
Q010,V3,3,3,True
Q011,V1,3,2,True
Q011,V2,3,2,True
Q011,V3,3,3,True
Q012,V1,3,2,True
Q012,V2,3,2,True
Q012,V3,3,3,True
Q013,V1,3,3,True
Q013,V2,3,3,True
Q013,V3,3,3,True
Q014,V1,3,3,True
Q014,V2,3,3,True
Q014,V3,3,3,True
Q015,V1,3,3,True
Q015,V2,3,3,True
Q015,V3,3,3,True
Q016,V1,3,3,True
Q016,V2,3,3,True
Q016,V3,3,2,True
Q017,V1,3,3,True
Q017,V2,3,3,True
Q017,V3,3,3,True
Q018,V1,3,2,True
Q018,V2,3,2,True
Q018,V3,3,2,True
Q019,V1,3,3,True
Q019,V2,3,3,True
Q019,V3,3,2,True
Q020,V1,3,3,True
Q020,V2,3,3,True
Q020,V3,3,1,True
Q021,V1,3,2,True
Q021,V2,3,2,True
Q021,V3,3,3,True
Q022,V1,3,1,True
Q022,V2,3,3,True
Q022,V3,3,3,True
Q023,V1,3,2,True
Q023,V2,3,2,True
Q023,V3,3,3,True
Q024,V1,3,3,True
Q024,V2,3,3,True
Q024,V3,3,3,True
Q025,V1,3,3,True
Q025,V2,3,3,True
Q025,V3,3,3,True
Q026,V1,3,3,True
Q026,V2,3,3,True
Q026,V3,3,3,True
Q027,V1,3,3,True
Q027,V2,3,2,True
Q027,V3,3,3,True
