query_id,variant,context_relevance,answer_relevance,faithfulness,context_precision,context_recall,bertscore_p,bertscore_r,bertscore_f1
Q001,V1,,,,,,,,
Q001,V2,,,,,,,,
Q001,V3,,,,,,,,
Q002,V1,,,,,,,,
Q002,V2,,,,,,,,
Q002,V3,,,,,,,,
Q003,V1,,,,,,,,
Q003,V2,,,,,,,,
Q003,V3,,,,,,,,
Q004,V1,,,,,,,,
Q004,V2,,,,,,,,
Q004,V3,,,,,,,,
Q005,V1,,,,,,,,
Q005,V2,,,,,,,,
Q005,V3,,,,,,,,
Q006,V1,,,,,,,,
Q006,V2,,,,,,,,
Q006,V3,,,,,,,,
Q007,V1,,,,,,,,
Q007,V2,,,,,,,,
Q007,V3,,,,,,,,
Q008,V1,,,,,,,,
Q008,V2,,,,,,,,
Q008,V3,,,,,,,,
Q009,V1,,,,,,,,
Q009,V2,,,,,,,,
Q009,V3,,,,,,,,
Q010,V1,,,,,,,,
Q010,V2,,,,,,,,
Q010,V3,,,,,,,,
Q011,V1,,,,,,,,
Q011,V2,,,,,,,,
Q011,V3,,,,,,,,
Q012,V1,,,,,,,,
Q012,V2,,,,,,,,
Q012,V3,,,,,,,,
Q013,V1,,,,,,,,
Q013,V2,,,,,,,,
Q013,V3,,,,,,,,
Q014,V1,,,,,,,,
Q014,V2,,,,,,,,
Q014,V3,,,,,,,,
Q015,V1,,,,,,,,
Q015,V2,,,,,,,,
Q015,V3,,,,,,,,
Q016,V1,,,,,,,,
Q016,V2,,,,,,,,
Q016,V3,,,,,,,,
Q017,V1,,,,,,,,
Q017,V2,,,,,,,,
Q017,V3,,,,,,,,
Q018,V1,,,,,,,,
Q018,V2,,,,,,,,
Q018,V3,,,,,,,,
Q019,V1,,,,,,,,
Q019,V2,,,,,,,,
Q019,V3,,,,,,,,
Q020,V1,,,,,,,,
Q020,V2,,,,,,,,
Q020,V3,,,,,,,,
Q021,V1,,,,,,,,
Q021,V2,,,,,,,,
Q021,V3,,,,,,,,
Q022,V1,,,,,,,,
Q022,V2,,,,,,,,
Q022,V3,,,,,,,,
Q023,V1,,,,,,,,
Q023,V2,,,,,,,,
Q023,V3,,,,,,,,
Q024,V1,,,,,,,,
Q024,V2,,,,,,,,
Q024,V3,,,,,,,,
Q025,V1,,,,,,,,
Q025,V2,,,,,,,,
Q025,V3,,,,,,,,
Q026,V1,,,,,,,,
Q026,V2,,,,,,,,
Q026,V3,,,,,,,,
Q027,V1,,,,,,,,
Q027,V2,,,,,,,,
Q027,V3,,,,,,,,
Q028,V1,,,,,,,,
Q028,V2,,,,,,,,
Q028,V3,,,,,,,,
Q029,V1,,,,,,,,
Q029,V2,,,,,,,,
Q029,V3,,,,,,,,
Q030,V1,,,,,,,,
Q030,V2,,,,,,,,
Q030,V3,,,,,,,,
Q031,V1,,,,,,,,
Q031,V2,,,,,,,,
Q031,V3,,,,,,,,
Q032,V1,,,,,,,,
Q032,V2,,,,,,,,
Q032,V3,,,,,,,,
Q033,V1,,,,,,,,
Q033,V2,,,,,,,,
Q033,V3,,,,,,,,
Q034,V1,,,,,,,,
Q034,V2,,,,,,,,
Q034,V3,,,,,,,,
Q035,V1,,,,,,,,
Q035,V2,,,,,,,,
Q035,V3,,,,,,,,
Q036,V1,,,,,,,,
Q036,V2,,,,,,,,
Q036,V3,,,,,,,,
Q037,V1,,,,,,,,
Q037,V2,,,,,,,,
Q037,V3,,,,,,,,
Q038,V1,,,,,,,,
Q038,V2,,,,,,,,
Q038,V3,,,,,,,,
